,CNPJ B,CNPJ O,CNPJ DV,MATRIZ/FIL,NOME FANT,STC,DATA STC,MOTIVO STC,CD EXT,PAIS,DT IN ATV,CNAE PRINCP,CNAE SECND,TIPO LOGR,LOGRD,NUMERO,COMPLEMENTO,BAIRRO,CEP,UF,MUNICIPIO,DDD1,TELEFONE1,DDD2,TELEFONE2,DDDFAX,FAX,CORREIO ELET,ST ESPC,DATA ST ESPC,CNAE PRINCIP
244,4492693,1,38,1,MERCEARIA CABOCLO,8,2016-12-07,1,,,2001-06-04,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,VICENTINA DE ALBUQUERQUE,237,,FATIMA,63400000.0,CE,1375,,,,,,,,,,4712100
245,6645713,1,99,1,,8,2004-12-31,1,,,2004-07-20,Atividades de organizações políticas,,RUA,PROFESSOR NATANAEL CORTEZ,925,,CENTRO,63400000.0,CE,1375,,,,,,,,,,9492800
246,6645715,1,88,1,,8,2004-12-31,1,,,2004-07-20,Atividades de organizações políticas,,RUA,PEGA MONTE,75,,SAO JOSE,63400000.0,CE,1375,,,,,,,,,,9492800
247,73447807,1,40,1,,8,2008-12-31,71,,,1993-10-05,Comércio varejista de tecidos,,RUA,CEL JOSE DE ALBUQUERQUE,587,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4755501
248,6664855,1,1,1,,8,2004-12-31,1,,,2004-07-20,Atividades de organizações políticas,,RUA,ANTONIO VIANA ARAUJO,146,,FATIMA,63400000.0,CE,1375,,,,,,,,,,9492800
249,1148712,1,15,1,ASCOMSMN,8,2005-12-13,1,,,1996-04-17,Atividades de associações de defesa de direitos sociais,"9493600,9499500",SITIO,CACHOEIRA DOS NUNES,S/N,,LAGEDO,63400000.0,CE,1375,,,,,,,,,,9430800
250,4550030,1,22,1,MERCADINHO PINHEIRO,8,2016-05-03,1,,,2001-07-02,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,SAO JOSE,1372,,PEDRA VOANTE,63400000.0,CE,1375,,,,,,,,,,4712100
251,6776284,1,99,1,,8,2004-12-31,1,,,2004-07-23,Atividades de organizações políticas,,RUA,PROFESSOR NATANAEL CORTEZ,725,,PRADO,63400000.0,CE,1375,,,,,,,,,,9492800
252,6806071,1,62,1,,8,2004-12-31,1,,,2004-07-27,Atividades de organizações políticas,,RUA,SENADOR JOAO IHOME,280,,CENTRO,63400000.0,CE,1375,,,,,,,,,,9492800
253,4686413,1,22,1,SHARLON,8,2002-04-16,1,,,2001-09-25,Comércio varejista de artigos do vestuário e acessórios,,RUA,:    VEREADOR ANTONIO VALDER VIANA,181,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4781400
254,6433951,1,30,1,,8,2004-12-31,1,,,2004-07-14,Atividades de organizações políticas,,RUA,TRAV ANTONIO PEREIRA,4,,CENTRO,63400000.0,CE,1375,,,,,,,,,,9492800
255,6927784,1,84,1,POSTO PADRE CICERO,8,1982-12-24,1,,,1982-03-04,Atividade Econônica não informada,,RUA,SAO JOSE,75,,CENTRO,63400000.0,CE,1375,,,,,,,,,,8888888
256,6597992,1,62,1,,8,2004-12-31,1,,,2004-07-19,Atividades de organizações políticas,,RUA,SAO JOAO BATISTA,SN,,,63400000.0,CE,1375,,,,,,,,,,9492800
257,4909361,1,6,1,PRECIOSA,8,2002-11-18,1,,,2002-02-19,Comércio varejista de artigos do vestuário e acessórios,,RUA,ANTONIO VALDER VIANA,204,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4781400
258,1512036,1,17,1,,8,1997-12-15,1,,,1996-10-21,"Comércio varejista de doces, balas, bombons e semelhantes",,SITIO,ASSUNCAO,S/N,,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,4721104
259,7141328,1,77,1,,8,2008-12-31,71,,,1966-08-20,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",,RUA,CEL LUIZ FELIPE,8,,SEDE,63400000.0,CE,1375,,,,,,,,,,4711301
260,502764,1,85,1,,8,2009-10-19,1,,,1995-03-24,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,JOAO BATISTA MORENO,11,,VARZEA,63400000.0,CE,1375,,,,,,,,,,4712100
261,41402132,1,27,1,,8,2008-12-31,71,,,1992-03-10,Tabacaria,,RUA,SENADOR JOAO TOME,96,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4729601
262,7141047,1,14,1,,8,2008-12-31,71,,,1966-08-01,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",,RUA,MERCADO PUBLICO,SN,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4711301
263,1540239,1,17,1,,8,1997-03-03,9,,,1996-11-14,Comércio varejista de artigos do vestuário e acessórios,,RUA,CEL JOSE DE ALBUQUERQUE,S/N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4781400
264,41590811,1,77,1,COCELEITE,8,2008-12-31,71,,,1992-08-28,Outras atividades associativas profissionais,,ESTRADA,CE 113,S/N,KM 01,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,9412099
265,41648361,1,26,1,EXITO CONSTRUCOES,8,1994-08-16,1,,,1993-01-26,Construção de edifícios,4299501,RUA,JOEL PASSOS,SN,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4120400
266,23721319,1,1,1,,8,2015-02-09,73,,,1989-06-15,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",,RUA,SENADOR JOAO TOME,13,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4711302
267,7430838,1,64,1,,8,2008-12-31,71,,,1972-09-04,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",,RUA,JOAO PESSOA,SN,,,63400000.0,CE,1375,,,,,,,,,,4711301
268,7580046,1,76,1,,8,1986-11-04,1,,,1984-11-20,Atividade Econônica não informada,,RUA,CEL JOSE DE ALBUQUERQUE,S/N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,8888888
269,7580533,1,39,1,,8,2008-12-31,71,,,1984-11-22,Comércio varejista de artigos do vestuário e acessórios,,RUA,AZARIAS ALVES DINIZ,S N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4781400
270,7826373,1,65,1,FLORIANO TERTULIANO DINIZ ACOUGUE,8,2008-12-31,71,,,1976-08-05,Comércio varejista de carnes - açougues,,RUA,DR JOAO PESSOA,S N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4722901
271,11584612,1,95,1,,8,2008-12-31,71,,,1986-08-29,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",,RUA,PADRE SA,SN,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4711301
272,11760840,1,79,1,,8,2003-04-07,1,,,1987-01-29,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,DR JOAO PESSOA,S N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
273,11770435,1,31,1,SILVA PECAS PARA MOTO,8,2015-02-09,73,,,1987-02-16,Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas,,RUA,CEL. JOSE DE ALBUQUERQUE,391,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4541206
274,12294799,1,55,1,,8,1999-08-11,1,,,1987-11-06,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,VER SALUSTIANO DE MOURA,000509,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
275,35030063,1,75,1,,8,1995-11-20,1,,,1990-01-11,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,MERCADO PUBLICO,30,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
276,35087592,1,5,1,,8,2008-02-11,1,,,1990-01-17,Comércio varejista de artigos do vestuário e acessórios,,RUA,CEL LUIZ FELIPE,154,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4781400
277,1540238,1,72,1,,8,1998-05-29,1,,,1996-11-12,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",4691500,RUA,JOAO XXIII,S/N,,FATIMA,63400000.0,CE,1375,,,,,,,,,,4693100
278,7624263,1,10,1,GUI MOTOS,8,2017-10-18,1,,,2005-09-28,Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas,4543900,AVENIDA,VEREADOR PEDRO LOPES VIEIRA,316,,CENTRO,63400000.0,CE,1375,88.0,99679423.0,,,,,,,,4541206
279,10518025,1,35,1,JOSE VIDAL,8,2008-12-31,71,,,1989-06-21,Instituições de longa permanência para idosos,,RUA,CARLOS SALES,SN,,CENTRO,63400000.0,CE,1375,,,,,,,,,,8711502
280,6663007,1,70,1,,8,2004-12-31,1,,,2004-07-20,Atividades de organizações políticas,,RUA,CORONEL ANTONIO AFONSO,86,,CENTRO,63400000.0,CE,1375,,,,,,,,,,9492800
281,63365886,1,97,1,,8,2020-08-26,1,,,1991-01-24,Fabricação de sabões e detergentes sintéticos,2063100,RUA,JULIO ALVES DOS SANTOS,187,,BAIRRO DE FATIMA,63400000.0,CE,1375,,,,,,,,,,2061400
282,73465320,1,90,1,,8,1995-03-13,6,,,1993-10-07,Construção de edifícios,4299501,RUA,DA PAZ,17,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4120400
283,41443110,1,5,1,INDUSTRIA E COMERCIO TUCANO,8,1997-02-17,1,,,1991-12-19,Cultivo de fumo,1210700,RUA,SAO PEDRO,68,,CENTRO,63400000.0,CE,1375,,,,,,,,,,114800
284,3907697,1,77,1,PATRICIO MODAS,8,2023-03-29,75,,,2000-05-23,Comércio varejista de artigos do vestuário e acessórios,,RUA,CEL JOSE DE ALBUQUERQUE,577,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4781400
285,12463188,1,93,1,,8,2015-02-09,73,,,1988-09-13,Atividades de associações de defesa de direitos sociais,"9493600,9499500",SETOR,SITIO VARZINHA,S/N,,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,9430800
286,5273180,1,7,1,JOAO FERREIRA LIMA MERCEARIA,8,2008-12-31,71,,,1977-01-21,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",,RUA,DR JOAO PESSOA,S N,TERREO,CENTRO,63400000.0,CE,1375,,,,,,,,,,4711301
287,700839,1,32,1,O TANAKA,8,2008-12-31,71,,,1995-07-17,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,SAO JOSE,891,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
288,703253,1,21,1,,8,2022-10-13,1,,,1995-07-18,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,SITIO,SANTO ANTONIO,S/N,,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,4712100
289,11758661,1,5,1,,8,1987-01-27,9,,,1987-01-27,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",,TRAVESSA,DO ORIENTE,45,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4711301
290,35029982,1,29,1,FRANSUA COMERCIO E REPRESENTACOES,8,2008-12-31,71,,,1990-01-11,Comércio varejista de livros,,RUA,SAO PEDRO,104,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4761001
291,6606099,1,56,1,,8,1989-06-21,1,,,1981-02-19,Comércio varejista de artigos do vestuário e acessórios,,RUA,DR JOAO PESSOA,54,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4781400
292,23707730,1,22,1,,8,2008-12-31,71,,,1989-05-22,Fabricação de produtos de panificação industrial,,RUA,SAO JOSE,395,,CENTRO,63400000.0,CE,1375,,,,,,,,,,1091101
293,11760980,1,47,1,,8,1989-05-29,1,,,1987-01-29,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,SITIO,SANTO ANTONIO,S N,,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,4712100
294,8032277,1,8,1,,8,2016-03-22,1,,,2006-05-30,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",,RUA,OBI JUCA DENIZ,234,A,CENTRO,63400000.0,CE,1375,85.0,34738454.0,85.0,34738454.0,85.0,34738454.0,,,,4757100
295,8225905,1,71,1,ARMARINHO FERNANDO,8,2016-11-28,1,,,2006-08-07,Comercio varejista de artigos de armarinho,4772500,RUA,PREFEITO ANTONIO ALVES DOS SANTOS,258 A,,FATIMA,63400000.0,CE,1375,88.0,99870212.0,,,,,,,,4755502
296,15935401,1,0,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,SITIO,LAGOA DA ONCA,SN,,SAO MIGUEL,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrodetodosnos@live.com,,,9492800
297,9729456,1,61,1,,8,2008-12-31,1,,,2008-07-06,Atividades de organizações políticas,,LAGOA,SITIO LAGOA DA ONÃA,S/N,,UBALDINHO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrocadavezmelhor@gmail.com,,,9492800
298,9752640,1,22,1,,8,2008-12-31,1,,,2008-07-06,Atividades de organizações políticas,,RUA,SITIO VARJOTA,S/N,,DISTRITO DE VÃRZEA DA CONCEIÃÃO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrocadavezmelhor@gmail.com,,,9492800
299,9871761,1,93,1,,8,2008-12-31,1,,,2008-07-08,Atividades de organizações políticas,,RUA,RUA SENADOR JOÃO TOMÃ,262,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,,,,9492800
300,9915734,1,75,1,,8,2008-12-31,1,,,2008-07-09,Atividades de organizações políticas,,RUA,RUA CORONEL JOÃO CÃNDIDO,383,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,,,,9492800
301,10117924,1,26,1,,8,2008-12-31,1,,,2008-07-12,Atividades de organizações políticas,,RUA,01,13,,CONJUNTO HABITACIONAL,63400000.0,CE,1375,88.0,35640590.0,,,88.0,35640590.0,,,,9492800
302,9770499,1,90,1,,8,2008-12-31,1,,,2008-07-06,Atividades de organizações políticas,,RUA,RUA 01,13,,CONJUNTO HABITACIONAL,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrocadavezmelhor@gmail.com,,,9492800
303,11353825,1,6,1,,8,2016-10-27,1,,,2009-11-20,Atividades de associações de defesa de direitos sociais,9493600,RUA,SENADOR JOAO TOME,298,,CENTRO,63400000.0,CE,1375,88.0,35641091.0,,,,,,,,9430800
304,13337997,1,11,1,DEPOVID,8,2023-01-17,1,,,2011-02-28,Comércio varejista de bebidas,4712100,RUA,SAO JOAO BATISTA,308,,CENTRO,63400000.0,CE,1375,88.0,99417217.0,88.0,92916523.0,88.0,99417217.0,,,,4723700
305,14843220,1,91,1,,8,2017-07-03,1,,,2011-12-20,"Atividades de apoio à educação, exceto caixas escolares","8599604,8599605,8541400,8542200",RUA,UM,30,,CONJUNTO HABITACIONAL,63400000.0,CE,1375,88.0,96238629.0,,,,,,,,8550302
306,14713364,1,23,1,ORIGINAL STORE,8,2018-11-20,1,,,2011-11-29,Comércio varejista de artigos do vestuário e acessórios,"4782201,4772500",RUA,ANTONIO VALDER VIANA,174,,CENTRO,63400000.0,CE,1375,88.0,99431143.0,,,,,,,,4781400
307,15937343,1,54,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,RUA,VEREADOR JOSE GONCALVES VIANA,101,,FATIMA,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrodetodosnos@live.com,,,9492800
308,15940771,1,36,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,RUA,PREFEITO ANTONIO ALVES DOS SANTOS,312,,FATIMA,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrodetodosnos@live.com,,,9492800
309,15953989,1,25,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,SITIO,VARJOTA,SN,,VARZEA DA CONCEICAO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrodetodosnos@live.com,,,9492800
310,15976584,1,2,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,RUA,CEL. JOAO CANDIDO,553,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrodetodosnos@live.com,,,9492800
311,16010152,1,5,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,RUA,CEL JOSE DE ALBUQUERQUE,503,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,FRANCISCOJUCEZAADV@HOTMAIL.COM,,,9492800
312,16029280,1,9,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,RUA,TOTONHO ALVES,206,,ALTO DA INDEPENDENCIA,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,HERTONBEZERRA@GMAIL.COM,,,9492800
313,16547494,1,69,1,,8,2018-02-01,67,,,2012-07-22,"Lanchonetes, casas de chá, de sucos e similares",,RUA,AZARIAS ALVES DINIZ,13,,CENTRO,63400000.0,CE,1375,88.0,99749904.0,,,,,profnil@live.com,,,5611203
314,9823417,1,29,1,,8,2008-12-31,1,,,2008-07-08,Atividades de organizações políticas,,RUA,RUA JOSÃ PEREIRA MAGALHÃES,17,,CONJUNTO HABITACIONAL,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,,,,9492800
315,15960273,1,55,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,RUA,RAIMUNDA CANDIDA DE MOURA,150,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrodetodosnos@live.com,,,9492800
316,16373899,1,28,1,,8,2012-12-31,1,,,2012-07-09,Atividades de organizações políticas,,RUA,JOAO XXIII,169,,FATIMA,63400000.0,CE,1375,88.0,99593574.0,,,88.0,35641485.0,cedrodetodosnos@live.com,,,9492800
317,18294464,1,13,1,,8,2013-07-19,1,,,2013-06-13,Comércio varejista de bebidas,,RUA,VICENTINA DE ALBUQUERQUE,00,,FATIMA,63400000.0,CE,1375,88.0,96607369.0,,,,,REGY_50@HOTMAIL.COM,,,4723700
318,18412811,1,65,1,BELCHO & CIA.,8,2016-11-21,1,,,2013-07-03,Comércio varejista de artigos do vestuário e acessórios,"4789001,4789099,4782201,4755503,5620104,5612100,4721102,4713002,4789005,5611203,5611201,4729699,4772500",RUA PRINCIPAL,ANTONIO AFONSO FILHO,201,,JARDIM AFONSO CELSO,63400000.0,CE,1375,88.0,92999361.0,,,,,,,,4781400
319,18431356,1,45,1,,8,2015-12-29,1,,,2013-07-05,Comércio varejista de bebidas,"4755502,5620101,4721103,4789005",RUA,RAIMUNDO GUEDES MARTINS,898,,CENTRO,63400000.0,CE,1375,88.0,92540976.0,,,,,,,,4723700
320,18551792,1,58,1,IM CONFECCOES,8,2016-03-30,1,,,2013-07-25,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas","1413403,1340501,4781400",AVENIDA,Joaquim Alves dos Santos,412,CASA,Centro,63400000.0,CE,1375,88.0,93092193.0,,,,,,,,1412602
321,18635351,1,34,1,CEDRO FRIOS,8,2020-09-30,1,,,2013-07-31,Comércio varejista de laticínios e frios,"4712100,4722901,4722902,4723700,4724500",RUA,AZARIAS ALVES DINIZ,13,,CENTRO,63400000.0,CE,1375,88.0,98059428.0,,,,,,,,4721103
322,18754079,1,1,1,CLOSET CHIC,8,2018-02-01,67,,,2013-08-26,Comércio varejista de artigos do vestuário e acessórios,3212400,RUA,UM,20,,centro,63400000.0,CE,1375,85.0,96443507.0,,,,,gabrielacarolinanp@hotmail.com,,,4781400
323,22843332,1,70,1,BAR CAIANA CETY,8,2019-09-02,1,,,2015-07-14,Comércio varejista de bebidas,"4755502,4721103,4789005",SITIO,CAIANA,440,,CAIANA,63400000.0,CE,1375,88.0,94387191.0,,,,,,,,4723700
324,22881505,1,45,1,JS INFOR - JUNIOR SOARES,8,2016-04-27,1,,,2015-07-20,Treinamento em informática,9511800,RUA,RUA 21 DE OUTUBRO,1269,CASA,ALTO DO PADEIRO,63400000.0,CE,1375,88.0,99177463.0,,,,,junior-soares8@live.com,,,8599603
325,23757006,1,3,1,LARISSA VARIEDADES,8,2018-05-18,1,,,2015-11-30,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,"4763601,4755503,4755502,4789001,4759801,4781400,4755501,4789005,4782201,4772500",SITIO,OLHO DAGUA,01,,ZONA RURAL,63400000.0,CE,1375,88.0,92707174.0,,,,,larissagobri@gmail.com,,,4729699
326,25745354,1,96,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,RUA,VEREADDOR SALUSTIANO MOURA,414,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,88.0,35640029.0,rodrigo22cedro@gmail.com,,,9492800
327,17651957,1,9,1,,8,2023-01-31,1,,,2013-02-27,Obras de alvenaria,"4322301,4330403,9601701",RUA,VALDENIR ALBUQUERQUE,3,,JARDIM AFONSO CELSO,63400000.0,CE,1375,85.0,96577371.0,,,,,MAYARAM_TIM@HOTMAIL.COM,,,4399103
328,17452931,1,23,1,INFOCEDRO,8,2021-08-09,1,,,2013-01-17,Comércio varejista especializado de equipamentos e suprimentos de informática,"4752100,4761003,4762800,6190601,9511800,4751202,8219901,1822901",AVENIDA,VEREADOR PEDRO LOPES VIEIRA,266,      TERREO,CENTRO,63400000.0,CE,1375,88.0,99030011.0,,,,,,,,4751201
329,25848103,1,37,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,SITIO,CACHOEIRA DOS MARQUES,12,,SANTO ANTONIO,63400000.0,CE,1375,0.0,0.0,,,88.0,35640191.0,raimundodadena@hotmail.com,,,9492800
330,26909661,1,28,1,LOJAO DAS REDES,8,2022-04-18,1,,,2017-01-19,Comércio varejista de artigos do vestuário e acessórios,"4789099,4789001,4763601,4772500,4782201",RUA,ADAUTO CASTELO,251,,CENTRO,63400000.0,CE,1375,88.0,99191682.0,,,,,LOJAODASREDESEMCEDRO@GMAIL.COM,,,4781400
331,27084951,1,42,1,ANDREIA CALCADOS E VARIEDADES,8,2021-12-27,1,,,2017-02-10,Comércio varejista de artigos do vestuário e acessórios,4782201,RUA,ANTONIO VALDER VIANA,113,,CENTRO,63400000.0,CE,1375,88.0,99941721.0,,,,,CLEBIO.CONTABILIDADE@HOTMAIL.COM,,,4781400
332,27538217,1,6,1,,8,2018-01-16,1,,,2017-04-17,Comércio varejista de outros produtos não especificados anteriormente,,VILA,AGROVILA UBALDINHO,222,,ZONA RURAL,63400000.0,CE,1375,88.0,35640014.0,88.0,96714053.0,,,,,,4789099
333,28626934,1,52,1,CMM COSMETICOS,8,2020-02-10,1,,,2017-09-13,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",4782201,RUA,CORONEL CAETANO AFONSO,957,,PEGA AVOANTE,63400000.0,CE,1375,88.0,99697329.0,,,,,CIBOSCO2009@HOTMAIL.COM,,,4772500
334,27487890,1,64,1,CRIATORIO SAO JORGE,8,2018-05-10,1,,,2017-04-07,Comércio varejista de hortifrutigranjeiros,1012101,RUA,Nossa Senhora da Conceicao,42,CASA,VARZEA DA CONCEICAO,63400000.0,CE,1375,88.0,81358743.0,,,,,jpvarzea255@hotmail.com,,,4724500
335,29837858,1,97,1,AP DIAS PROJETOS,8,2021-05-06,1,,,2018-03-03,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,8599604,RUA,TABELIAO RAIMUNDO DOS SANTOS,360,ANDAR APTO,FATIMA,63400000.0,CE,1375,88.0,96697878.0,,,,,apassistentesocial@hotmail.com,,,8219999
336,30340177,1,6,1,MERCADINHO MARIA CLARA,8,2019-02-13,1,,,2018-05-02,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,SAO JOSE,1472,,PEGA AVOANTE,63400000.0,CE,1375,88.0,99032608.0,,,,,,,,4712100
337,31532495,1,23,1,RM REPRESENTACOES,8,2020-08-11,1,,,2018-09-18,Promoção de vendas,,RUA,Antonio Viana de Araujo,41,CASA,Fatima,63400000.0,CE,1375,88.0,92153537.0,,,,,jacuzeiro@gmail.com,,,7319002
338,31936957,1,78,1,,8,2020-03-18,1,,,2018-11-05,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",,RUA,RUA MON ANTONIO VIEIRA COSTA,45,CASA,ALTO DO PADEIRO,63400000.0,CE,1375,85.0,97424351.0,,,,,,,,1412602
339,33497339,1,2,1,J2D Tech,8,2019-07-15,1,,,2019-04-30,Treinamento em informática,"9511800,8599699,6190699",RUA,21 de outubro,1269,CASA,Alto do Padeiro,63400000.0,CE,1375,88.0,98058864.0,,,,,daniel.ifce2@gmail.com,,,8599603
340,34657347,1,23,1,M.Dantas,8,2019-12-23,1,,,2019-08-26,Restaurantes e similares,"5611205,4783101",10A RUA,Rua Joao XXIII,114,,Fatima,63400000.0,CE,1375,88.0,99605599.0,,,,,marcos_as_dantas@hotmail.com,,,5611201
341,35366637,1,80,1,ESPACO LOLITAS,8,2019-11-11,1,,,2019-10-31,Comércio varejista de artigos do vestuário e acessórios,,TRAVESSA,ANTONIO MARQUES,33,LOJA 3,CENTRO,63400000.0,CE,1375,88.0,96553546.0,,,,,KEZIA1121@GMAIL.COM,,,4781400
342,36867259,1,81,1,BOUTIQUE TODA LINDA,8,2022-07-17,75,,,2020-04-04,Comércio varejista de artigos do vestuário e acessórios,"4789001,4755502,4755503,4772500,4782202,4782201,4774100",RUA,CEL JOSE DE ALBUQUERQUE,403,,CENTRO,63400000.0,CE,1375,88.0,99417217.0,,,,,CLEBIO.CONTABILIDADE@HOTMAIL.COM,,,4781400
343,38044760,1,73,1,RM REPRESENTACOES LTDA,8,2022-06-08,1,,,2020-08-11,"Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria","4619200,8299799",RUA,OBI JUCA DINIZ,177,SALA  01,PRADO,63400000.0,CE,1375,88.0,92153537.0,,,,,RMREPRESENTACOES2021@GMAIL.COM,,,4618401
344,38678237,1,7,1,,8,2021-02-28,1,,,2020-09-22,Atividades de organizações políticas,,RUA,RUA ZE PAJE,296,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,eopovofelizdenovo@gmail.com,,,9492800
345,38737024,1,9,1,,8,2021-02-28,1,,,2020-09-23,Atividades de organizações políticas,,RUA,PAULO NERI,S N,,PEGA AVOANTE,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,otrabalhocontinua12@gmail.com,,,9492800
346,38752803,1,75,1,,8,2021-02-28,1,,,2020-09-23,Atividades de organizações políticas,,SITIO,SITIO CACHOEIRA DOS MARQUES,S N,,DISTRITO SANTO ANTONIO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,otrabalhocontinua12@gmail.com,,,9492800
347,38850735,1,87,1,,8,2021-02-28,1,,,2020-09-24,Atividades de organizações políticas,,DISTRITO,SEDE DO DISTRITO,S N,,CANDEIAS,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,otrabalhocontinua12@gmail.com,,,9492800
348,38873953,1,37,1,,8,2021-02-28,1,,,2020-09-24,Atividades de organizações políticas,,SITIO,TAQUARI,40,,CANDEIAS,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,otrabalhocontinua12@gmail.com,,,9492800
349,38960039,1,23,1,,8,2021-02-28,1,,,2020-09-25,Atividades de organizações políticas,,RUA,CORONEL JOSE DE ALBUQUERQUE,391,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,rogerinhogmotos@gmail.com,,,9492800
